,fsq_id,name,address,locality,neighborhood,postcode,category,latitude,longitude
0,4f75c889e4b0b24b0c1c4c98,Barnet Police Station,26-32 High St,Barnet,Barnet,EN5 5RU,Police Station,51.652283,-0.198046
1,886e605708d446fd6af7be02,Barnet Police Station,,London,,,Police Station,51.654345,-0.201383
2,7687cbfe5d9743d0bcfd91b6,Metropolitan Police,111 High St,Barnet,,EN5 5XY,Police Station,51.655584,-0.202649
3,dd8ab317b29242cec99126f6,Cat Hill,"Snt Base, 13 Cat Hill",Barnet,,EN4 8HG,Police Station,51.64317,-0.162268
4,fa389098b2a249fb9381e3f3,Metropolitan Police Service,13 Cat Hill,Barnet,,EN4 8HG,Police Station,51.643139,-0.161936
5,4e5cfb06d22db02bc93b3c4b,Metropolitan Police Service,2 Arnsberg Way,Bexleyheath,Bexleyheath,DA7 4QS,Police Station,51.456945,0.148975
6,4e15e357e4cded56112c5bac,Wembley Police Station,603 Harrow Rd,Wembley,Wembley,HA0 2HH,Police Station,51.55163,-0.305608
7,4c85feaed34ca143d5d54b80,Harlesden Police Station,76 Craven Park,Harlesden,Brent Park,NW10 8RJ,Police Station,51.541973,-0.25461
8,597d5b153a8a425aa0e3c16e,British Transport Police,Bridge Rd,Wembley,Wembley,HA9 9AA,Police Station,51.563437,-0.279104
9,5f37a8ceb58a4e03d8e16db6,Metropolitan Police Service,Chalkhill Rd,Wembley,Preston,HA9 9DS,Police Station,51.56394,-0.266142
10,766eefc002b84dea47ca5347,Chalkhill Police Station,,Wembley,,,Police Station,51.564709,-0.264759
11,78f7fb38e4f64312104d04a2,"London Designer Outlet, Wembley Park",Wembley Boulevard,Wembley,,HA9 0QL,Police Station,51.550306,-0.271839
12,9ff8f25a467b4e679dc50ec2,Kingsbury Trading Estate,"Snt Base, Kingsbury Trading Estate, Barningham Way",London,Kingsbury Green,NW9 8AU,Police Station,51.581152,-0.261391
13,1edcee826d0c49eadb80ccb6,Kingsbury Police Station,,Harrow,,,Police Station,51.583773,-0.282739
14,ec60096e98ce4362e0f79ec0,High Street,"Snt Base, 49 High St",Orpington,,BR6 6BG,Police Station,51.353507,0.09003
15,eb2638c17c7e4cf56d0612ee,Metropolitan Police,1 The Walnuts,Orpington,Ramsden,BR6 0TW,Police Station,51.377038,0.100718
16,7ff8b86b63af47cf873d00fc,Bromley Borough Police,The Walnuts,Orpington,Ramsden,BR6 0TW,Police Station,51.377093,0.100752
17,4b9e6d61f964a520cce236e3,Kentish Town Police Station,12a Holmes Rd,Kentish Town,,NW5 3AE,Police Station,51.549543,-0.142126
18,4c48326c1ddec92814b09f32,British transport Police HQ,,Camden Town,,,Police Station,51.540839,-0.139723
19,555afc33498e35244ae08a04,National Probation Service,1-5 Dorset Close,London,St. Marylebone,NW1 5AN,Police Station,51.5223,-0.160428
20,4b9e159df964a520c3c936e3,Paddington Green Police Station,2-4 Harrow Rd,Paddington,,W2 1XJ,Police Station,51.519875,-0.170695
21,4f23fc23e4b0008741d460c4,West Hampstead Police Station,21 Fortune Green Rd,West Hampstead,Kilburn,NW6 1DX,Police Station,51.553645,-0.196007
22,4d959659942ba0933fdd3d8c,London Police Jail,,Paddington,,NW 1 5,Police Station,51.519468,-0.167828
23,61a1f5b46929489d877b7ce9,Metropolitan Police,88 Ave Rd,London,,NW3 3HA,Police Station,51.542425,-0.173216
24,88708385ccc14a71e926820a,Greenland Road,"Snt Base, 12 Greenland Rd",London,,NW1 0AY,Police Station,51.538236,-0.141031
25,5c7d956a93d242a30c4a78d2,British Transport Police,25 Camden Rd,London,Camden Town,NW1 9LN,Police Station,51.540727,-0.139791
26,d754b164bda848964d83b965,British Transport Police,Camden Rd,London,,NW1 9LS,Police Station,51.540839,-0.139723
27,6988e5f345b04b0195e51db3,Metropolitan Police - Kentish Town Police Station,Kentish Town Police Station 12A Holmes Rd,London,Kentish Town,NW5 3AE,Police Station,51.549449,-0.141817
28,849de6ec0b3d47e223161f42,British Transport Police Authority,74-80 Camden St,London,Camden Town,NW1 0EG,Police Station,51.538226,-0.137738
29,5fdbe5d8b8e2487f367c465e,Royal Parks Constabulary,"Inner Circle, Regents Pk",London,,NW1 4NR,Police Station,51.528327,-0.150628
30,68c22f28cf154b23a5314038,Metropolitan Police Service,60 Albany St,London,Camden Town,NW1 4EE,Police Station,51.526518,-0.144124
31,fbcb4af4e4254f2e035373f3,Tuffnell Park LT station,Fortress Rd,London,,N19 5QB,Police Station,51.556528,-0.138427
32,fc2982793cac4107aba16b46,British Transport Police,"E Block Macmillan House, Westminster",London,Little Venice,W2 1FT,Police Station,51.517522,-0.17707
33,4e75e6b3a809582dd622871e,City of London Police,182 Bishopsgate,London,The City,EC2M 4WN,Police Station,51.516793,-0.093434
34,4db0450e6e81a2637ed5c793,Wood Street Police Station,37 Wood St,London,,EC2P 2NQ,Police Station,51.517114,-0.093514
35,4cc5c23d01fb236add87b3ba,Snow Hill Police Station,5 Snow Hill,London,Smithfield,EC1A 2DP,Police Station,51.517066,-0.102792
36,4c99b383eaa5a143b7eec5e4,Bishopsgate Police Station,182 Bishopsgate,London,Spitalfields,EC2M 4NP,Police Station,51.51762,-0.08011
37,4b3b3e75f964a520c57125e3,Shoreditch Police Station,4-6 Shepherdess Walk,Shoreditch,Islington,N1 7LF,Police Station,51.528768,-0.091731
38,571243d7498e057aabe7f94a,Brick Lane Police Station,25 Brick Lane,London,,E1 6PU,Police Station,51.518128,-0.071376
39,4c31d085ed37a593d5d46a03,Southwark Police Station,323 Borough High St,Southwark,Waterloo,SE1 1JL,Police Station,51.499359,-0.096167
