,fsq_id,name,address,locality,neighborhood,postcode,category,latitude,longitude
0,4d6e854c2e6ea09398fe1e50,Acton Police Station,250 High St,Acton,Acton,W3 9BH,Police Station,51.508535,-0.274953
1,4c99b383eaa5a143b7eec5e4,Bishopsgate Police Station,182 Bishopsgate,London,Spitalfields,EC2M 4NP,Police Station,51.51762,-0.08011
2,838a9a92b3244f53520eb6b7,British Transport Police,"Bishopsgate Police Station, 182 Bishopsgate",London,Whitechapel,EC2M 4NP,Police Station,51.517735,-0.079948
3,4ae9d672f964a520eeb621e3,Temple London Underground Station,Victoria Embankment,Temple,,WC2R 2PH,Metro Station,51.510996,-0.113627
4,6118a7a7533844f4df964ca3,The Civil Justice Council,,London,,WC2A 2LL,Police Station,51.513601,-0.114607
5,d045b823812e486e28bc8834,Calder UK,2 Arundel St,London,,WC2R 3AZ,Police Station,51.511783,-0.114156
6,4c37413a2c8020a135a38800,Islington Police Station,2 Tolpuddle St,Islington,Islington,N1 0YY,Police Station,51.53394,-0.111027
7,4cc5c23d01fb236add87b3ba,Snow Hill Police Station,5 Snow Hill,London,Smithfield,EC1A 2DP,Police Station,51.517066,-0.102792
8,4db0450e6e81a2637ed5c793,Wood Street Police Station,37 Wood St,London,,EC2P 2NQ,Police Station,51.517114,-0.093514
9,4acf6ff6f964a520a6d320e3,Bayswater Underground Station,Queensway,London,,W2 4QH,Metro Station,51.512475,-0.187828
10,0541a0913fc14eceeddf724b,Queensway Station,Bayswater Rd,London,Bayswater,W2 4SS,Metro Station,51.510438,-0.187415
11,4ad10c3bf964a52039dc20e3,Turnham Green London Underground Station,Turnham Green Terrace,London,,W4 1LR,Metro Station,51.495165,-0.254585
12,28b168fd1a644c309be5f171,Pavilion Road,"Snt Base, 77-83 Pavilion Rd",London,,SW1X 0ET,Police Station,51.498363,-0.159762
13,6619571df9434faa77d85135,Metropolitan Police Service,77-83 Pavilion Rd,London,Knightsbridge,SW1X 0ET,Police Station,51.498572,-0.159909
14,4c59937c6407d13ad67cb228,Bethnal Green Police Station,12 Victoria Park Square,London,,E2 9NZ,Police Station,51.528184,-0.053619
15,4ad6557df964a520a10621e3,Bethnal Green London Underground Station,Cambridge Heath Rd,London,,E2 0ET,Metro Station,51.527243,-0.055292
16,18cb644030804920a937a868,Probation Trust,377 Cambridge Heath Rd,London,Bethnal Green,E2 9RD,Police Station,51.53022,-0.056408
17,4f427fa5e4b0f6acbd71568d,Blackfriars London Underground Station,179 Queen Victoria St,London,,EC4V 4DD,Metro Station,51.51155,-0.10395
18,8d971ac72965482084b6aaa1,Constable & Robinson,100 Victoria Embankment,London,,EC4Y 0DY,Police Station,51.511656,-0.105168
