,name,postcode,borough,latitude,longitude,price,rating,popularity,distance_metro,distance_police,number_of_crimes
0,The Black Horse,EN5 4BW,London Borough of Barnet,51.653075,-0.206657,1.0,8.1,0.9395506925852636,904.7221783952056,390.28142268413694,30
1,Ye Olde Mitre Inne,EN5 5SJ,London Borough of Barnet,51.652979,-0.199367,1.0,7.6,0.9827680130368992,443.9459654988773,119.56110587743017,45
2,The Arkley,EN5 3EP,London Borough of Barnet,51.652533,-0.219573,1.0,7.7,0.9873751600512164,1767.1738669776782,1215.8159628743226,2
3,Railway Tavern,EN4 8RR,London Borough of Barnet,51.650059,-0.174692,1.0,7.4,0.9508951228029332,1343.2480489568218,1149.6212554108404,64
4,The Kings Head,EN5 5SN,London Borough of Barnet,51.653499,-0.200979,1.0,6.6,0.3777767431032476,568.2927593999508,98.11283449358235,40
5,The Monken Holt,EN5 4PL,London Borough of Barnet,51.658291,-0.201368,1.0,6.8,0.246145966709347,985.0319775469468,313.70780481876744,22
6,The Green Dragon,EN5 4RE,Hertfordshire County Council,51.674789,-0.216312,1.0,7.2,0.9721663862841196,3089.097301598794,2334.170121499875,0
7,The Red Lion,EN5 5UW,London Borough of Barnet,51.652453,-0.199044,1.0,6.1,0.967386800139681,393.2690565702389,71.39873342725784,44
8,The Orange Tree,N20 8NX,London Borough of Barnet,51.629934,-0.197419,1.0,6.5,0.9514980793854032,1259.998884265972,2485.475467501432,1
12,Queens Arms,EN5 1AB,London Borough of Barnet,51.64669,-0.188042,1.0,5.6,0.8880013968106157,609.0855924052835,929.066928842225,45
14,The Railway Bell,EN4 8RR,London Borough of Barnet,51.650462,-0.172977,1.0,5.6,0.9352252357117914,1460.0965996654863,1097.002704283349,67
15,Prince of Wales,EN4 8TB,London Borough of Barnet,51.642101,-0.163195,1.0,5.7,0.9672191828657898,1449.2248798999624,134.9859173763664,41
17,Kings Head,DA5 1AA,London Borough of Bexley,51.441903,0.149824,1.0,6.7,0.9516005121638924,11061.737109314008,1673.630808145107,22
18,The Traveller's Home,DA7 5AR,London Borough of Bexley,51.462432,0.152058,1.0,7.1,0.946253055523222,8829.474268540353,646.4352846761523,28
19,The Prince Albert,DA6 7LE,London Borough of Bexley,51.455431,0.152618,1.0,6.8,0.8890862530555232,9608.915627933324,303.4036185226737,86
20,The George,DA5 1AJ,London Borough of Bexley,51.441873,0.150353,1.0,6.2,0.9505971365382376,11070.509366352222,1678.6505249495503,22
21,Yacht,DA7 5AE,London Borough of Bexley,51.466222,0.144872,1.0,6.8,0.9660365498777792,8336.781810470233,1070.0038117141128,15
22,William Camden,DA7 4EQ,London Borough of Bexley,51.462077,0.131824,1.0,6.6,0.9428588057269236,8705.6089637565,1318.17984424191,44
24,The Furze Wren,DA6 7DY,London Borough of Bexley,51.456671,0.146431,1.0,6.1,0.9956908392503784,9402.8960770843,178.87774566367867,123
26,The Kings Arms,DA6 7DW,London Borough of Bexley,51.456949,0.142945,1.0,6.1,0.9587754626935164,9339.32019054274,417.7944266638556,151
27,The Crayford Arms,DA1 4HH,London Borough of Bexley,51.452565,0.177089,1.0,6.2,0.9038924455825864,10154.039918082795,2007.959158628736,66
28,The Three Blackbirds,DA5 1BX,London Borough of Bexley,51.448248,0.122272,1.0,6.1,0.8989593760912583,10069.263585443374,2087.7957549177686,24
30,Golden Lion,DA6 8BE,London Borough of Bexley,51.458035,0.13575,1.0,5.8,0.9629891747177278,9170.210125200749,924.2768486505722,105
33,The Wrong Un,DA6 8AS,London Borough of Bexley,51.457841,0.137459,1.0,5.6,0.9383750436503318,9200.990856905071,804.0853222564829,114
39,Bear & Ragged Staff,DA1 4BS,London Borough of Bexley,51.451845,0.177927,1.0,5.5,0.9192736584798044,10244.81350966754,2084.6936742437474,72
46,The White Horse,HA9 0HP,London Borough of Brent,51.558346,-0.280355,1.0,6.8,0.9762146432312886,580.7327206373186,572.6615399419749,165
47,The Fusilier,HA0 2HA,London Borough of Brent,51.561739,-0.3319285,1.0,7.2,0.9605191479455244,595.956600848535,2138.8484203871367,30
48,The Torch,HA9 9AB,London Borough of Brent,51.56493,-0.277282,1.0,5.7,0.9589873123035736,230.0547353107528,208.3798559307727,111
