,name,latitude,longitude,line
0,Acton Town,51.502500,-0.278126,"District, Piccadilly"
1,Acton Central,51.50883531,-0.263033174,London Overground
2,Acton Central,51.50856013,-0.262879534,London Overground
3,Aldgate,51.51394,-0.07537,Metropolitan
4,Aldgate East,51.51514,-0.07178,"District, Hammersmith & City"
5,Alperton,51.54097,-0.30061,Piccadilly
6,Amersham,51.67435,-0.60732,Metropolitan
7,Angel,51.53253,-0.10579,Northern
8,Archway,51.56536,-0.13474,Northern
9,Arnos Grove,51.61625,-0.13355,Piccadilly
10,Arsenal,51.55847,-0.10561,Piccadilly
11,Baker Street,51.52265,-0.15704,"Circle, Hammersmith & City"
12,Baker Street,51.522236,-0.157080,"Bakerloo, Jubilee"
13,Balham,51.44344113,-0.152945844,Northern
14,Bank,51.5134047,-0.08905843,"Central, Waterloo & City"
15,Barbican,51.520865,-0.097758,"Circle, Hammersmith & City, Metropolitan"
16,Barking,51.54079,+0.08018,"District, Hammersmith & City"
17,Barkingside,51.58543,+0.08854,Central
18,Barons Court,51.490281,-0.214340,"Piccadilly, District"
19,Battersea Power Station,51.47950,-0.14200,Northern
20,Bayswater,51.51224,-0.187569,"Circle, District"
21,Becontree,51.54029,+0.12620,District
22,Belsize Park,51.55036,-0.16465,Northern
23,Bermondsey,51.49813,-0.06350,Jubilee
24,Bethnal Green,51.52718,-0.05504,Central
25,Blackfriars,51.5114403,-0.10419050,"Circle, District"
26,Blackhorse Road,51.58698,-0.04104,Victoria
27,Bond Street,51.51461,-0.14897,"Central, Jubilee"
28,Borough,51.50095,-0.09446,Northern
29,Boston Manor,51.495371,-0.325573,Piccadilly
30,Bounds Green,51.60700,-0.12418,Piccadilly
31,Bow Road,51.52709,-0.02482,"District, Hammersmith & City"
32,Brent Cross,51.57693,-0.21414,Northern
33,Brixton,51.46239,-0.115421,Victoria
34,Bromley-by-Bow,51.52466,-0.01282,"District, Hammersmith & City"
35,Brondesbury,51.54505,-0.20297,London Overground
36,Brondesbury Park,51.54060,-0.21093,London Overground
37,Buckhurst Hill,51.62611,+0.04705,Central
38,Burnt Oak,51.60300,-0.26427,Northern
39,Caledonian Road,51.54850,-0.11802,Piccadilly
40,Caledonian Road & Barnesbury,51.54326,-0.11544,London Overground
41,Camden Road,51.54192,-0.13981,London Overground
42,Camden Town,51.53930,-0.14316,Northern
43,Canada Water,51.49787,-0.04967,East London
44,Canary Wharf,51.50362,-0.01987,Jubilee
45,Cannon Street,51.51141,-0.09047,"Circle, District"
46,Canonbury,51.54822,-0.09632,London Overground
47,Canons Park,51.60810,-0.29487,Jubilee
48,Chalfont & Latimer,51.66822,-0.56053,Metropolitan
49,Chalk Farm,51.54390,-0.15384,Northern
50,Chancery Lane,51.51836,-0.11115,Central
51,Charing Cross,51.507108,-0.122963,"Bakerloo, Northern"
52,Chesham,51.70522733,-0.610986426,Metropolitan
53,Chigwell,51.61795,+0.07511,Central
54,Chiswick Park,51.49466,-0.26866,District
55,Chorleywood,51.65429872,-0.518373353,Metropolitan
56,City Thameslink,51.51416,-0.10335,Thameslink
57,Clapham Common,51.46156,-0.13802,Northern
58,Clapham North,51.46522,-0.12950,Northern
59,Clapham South,51.45292257,-0.147562148,Northern
60,Cockfosters,51.65117,-0.14811,Piccadilly
61,Colindale,51.59556,-0.24996,Northern
62,Colliers Wood,51.41823649,-0.17800983,Northern
63,Covent Garden,51.51308,-0.12427,Piccadilly
64,Croxley,51.64733268,-0.441479115,Metropolitan
65,Dagenham East,51.54396,+0.16439,District
66,Dagenham Heathway,51.54173,+0.14543,District
67,Dalston Kingsland,51.54832,-0.07879,London Overground
68,Debden,51.64535,+0.08364,Central
69,Dollis Hill,51.55250,-0.23884,Jubilee
70,Ealing Broadway,51.51482,-0.30118,"Central, District"
71,Ealing Common,51.50997,-0.28825,"District, Piccadilly"
72,Earl's Court,51.491521,-0.193906,"District, Piccadilly"
73,East Acton,51.51753,-0.24827,Central
74,East Finchley,51.5872974705487,-0.16495632312818,Northern
75,East Ham,51.53931,+0.05260,"District, Hammersmith & City"
76,East Putney,51.459015,-0.211138,District
77,Eastcote,51.57676,-0.39629,"Metropolitan, Piccadilly"
78,Edgware,51.61385,-0.27515,Northern
79,Edgware Road (Bakerloo Line),51.519560,-0.169068,Bakerloo
80,Edgware Road (Circle Line),51.520195,-0.166986,"Circle, District, Hammersmith & City"
81,Elephant & Castle,51.49467,-0.10047,"Bakerloo, Northern"
82,Elm Park,51.54969,+0.19779,District
83,Embankment,51.50717,-0.12195,"Bakerloo, Circle, District, Northern"
84,Epping,51.69365,+0.11495,Central
85,Euston,51.52774,-0.13303,Northern
86,Euston Square,51.52584,-0.13570,"Circle, Hammersmith & City, Metropolitan"
87,Fairlop,51.59634,+0.09125,Central
88,Farringdon,51.520362948,-0.105126482,"Circle, Hammersmith & City, Metropolitan"
89,Farringdon,51.520086,-0.104789,"Circle, Hammersmith & City, Metropolitan"
90,Finchley Central,51.60102,-0.19240,Northern
91,Finchley Road,51.546701,-0.179867,"Jubilee, Metropolitan"
92,Finchley Road and Frognal,51.54994,-0.18412,London Overground
93,Finsbury Park,51.56498,-0.10543,"Piccadilly, Victoria"
94,Fulham Broadway,51.48033,-0.19488,District
95,Gants Hill,51.57649,0.06637,Central
96,Gloucester Road,51.49408266,-0.17295341,"Circle, District, Piccadilly"
97,Golders Green,51.57249,-0.19410,Northern
98,Goldhawk Road,51.501248,-0.226776,Hammersmith & City
99,Goodge Street,51.52060,-0.13441,Northern
100,Gospel Oak,51.55597,-0.15228,London Overground
101,Grange Hill,51.61326,+0.09258,Central
102,Great Portland Street,51.52391,-0.14397,"Circle, Hammersmith & City, Metropolitan"
103,Greenford,51.542346,-0.345903,Central
104,Gunnersbury,51.49126844,-0.275554312,District
105,Green Park,51.50674,-0.14276,"Jubilee, Piccadilly, Victoria"
106,Hackney Central,51.54689,-0.05784,London Overground
107,Hackney Wick,51.54348,-0.02474,London Overground
108,Hainault,51.60288,+0.09332,Central
